num__daily_social_media_hours,num__sleep_hours_per_night,num__physical_activity,num__stress_level(1-10),cat__gender_male,cat__social_media_platform_Instagram,cat__social_media_platform_Other,cat__social_media_platform_TikTok,anxiety_level
-0.3344344556864888,0.3048142418863167,0.3550487790145169,0.12765791624418638,1.0,1.0,0.0,0.0,6
1.0035015798054652,-0.37687895083068623,-1.3572674930593545,1.1172541661991204,1.0,0.0,1.0,0.0,7
-0.7804131341838066,0.79173795096989,1.2112069150514528,-0.8619383337107478,0.0,0.0,1.0,0.0,2
1.6972461908012932,-1.1559568853644033,0.3550487790145169,1.4471195828507653,0.0,0.0,0.0,1.0,8
-1.6228173046787404,2.5446633036707547,1.553670169466227,-1.5216691670140372,0.0,0.0,0.0,1.0,2
0.3593101553093393,-0.1821094671972567,0.5262804062219043,0.4575233328958311,0.0,1.0,0.0,0.0,7
0.557522901308147,-0.8638026599142595,-1.0148042386445801,1.4471195828507653,1.0,0.0,1.0,0.0,10
0.656629274307551,-0.08472472538054238,-0.15864610260764442,0.7873887495474758,0.0,1.0,0.0,0.0,7
-1.3254981856805286,0.5969684673364605,0.5262804062219043,-1.1918037503623926,0.0,0.0,1.0,0.0,2
1.5485866313021868,-1.8376500780814062,-1.5284991202667417,1.4471195828507653,1.0,0.0,0.0,0.0,8
-1.0777322531820186,0.6943532091531757,-1.6997307474741288,-0.20220750040745836,1.0,0.0,0.0,0.0,4
0.45841652830874335,-0.1821094671972567,-1.1860358658519674,0.7873887495474758,0.0,1.0,0.0,0.0,7
-0.9290726936829126,0.3048142418863167,-0.8435726114371931,-1.1918037503623926,0.0,1.0,0.0,0.0,1
-0.6317535746847005,0.2074295000696023,-0.15864610260764442,-0.5320729170591031,1.0,1.0,0.0,0.0,4
0.16109740931053115,-0.37687895083068623,0.012585524599742711,-0.5320729170591031,0.0,0.0,0.0,1.0,3
-0.28488126918678675,0.49958372551974617,-1.1860358658519674,0.12765791624418638,1.0,0.0,0.0,1.0,4
-1.1768386261814225,1.2786616600534633,0.5262804062219043,-1.5216691670140372,1.0,0.0,0.0,1.0,1
-1.1272854396817205,0.49958372551974617,0.3550487790145169,-0.5320729170591031,1.0,1.0,0.0,0.0,4
